Short Country	Long Country	Holiday	Long Date	Short Date	Description
AF	Afghanistan	Liberation Day	"Saturday, February 15, 2025"	15-Feb-25	Liberation Day is a public holiday in Afghanistan
AF	Afghanistan	First Day of Ramadan	"Saturday, March 1, 2025"	1-Mar-25	"Ramadan is a period of prayer, reflection and fasting for many Muslims worldwide. It is the ninth month in the Islamic calendar."
AF	Afghanistan	March Equinox	"Thursday, March 20, 2025"	20-Mar-25	March Equinox in Afghanistan (Kabul)
AF	Afghanistan	Nauruz	"Friday, March 21, 2025"	21-Mar-25	Nauruz is a observance in Afghanistan
AF	Afghanistan	Eid al-Fitr	"Sunday, March 30, 2025"	30-Mar-25	"Eid al-Fitr is a holiday to mark the end of the Islamic month of Ramadan, during which Muslims fast during the hours of daylight."
AF	Afghanistan	Eid al-Fitr Holiday	"Monday, March 31, 2025"	31-Mar-25	Eid al-Fitr Holiday is a public holiday in Afghanistan
AF	Afghanistan	Afghan Victory Day	"Monday, April 28, 2025"	28-Apr-25	Afghan Victory Day is a public holiday in Afghanistan
AF	Afghanistan	Labor Day	"Thursday, May 1, 2025"	1-May-25	"Labor Day, International Workers' Day, and May Day, is a day off for workers in many countries around the world."
AF	Afghanistan	Day of Arafat	"Friday, June 6, 2025"	6-Jun-25	Day of Arafat is a public holiday in Afghanistan
AF	Afghanistan	Eid al-Qurban	"Saturday, June 7, 2025"	7-Jun-25	Eid al-Adha (Id ul-Adha) is an Islamic festival falling on the 10th day of the month of Dhul Hijja (Thou al-Hijja) to commemorate the willingness of Ibrahim (Abraham) to sacrifice his son.
AF	Afghanistan	Eid al-Qurban Holiday	"Sunday, June 8, 2025"	8-Jun-25	Eid al-Qurban Holiday is a public holiday in Afghanistan
AF	Afghanistan	June Solstice	"Saturday, June 21, 2025"	21-Jun-25	June Solstice in Afghanistan (Kabul)
AF	Afghanistan	Ashura	"Sunday, July 6, 2025"	6-Jul-25	Ashura is a public holiday in Afghanistan
AF	Afghanistan	Independence Day (National Day)	"Tuesday, August 19, 2025"	19-Aug-25	Independence Day (National Day) is a public holiday in Afghanistan
AF	Afghanistan	Anniversary of the Withdrawal of Foreign Troops	"Sunday, August 31, 2025"	31-Aug-25	Anniversary of the Withdrawal of Foreign Troops is a public holiday in Afghanistan
AF	Afghanistan	The Prophet's Birthday	"Friday, September 5, 2025"	5-Sep-25	"Mawlid, or Milad, marks the birth of the Islamic prophet Muhammed, or Mohamed, in the year 570 of the Gregorian calendar."
AF	Afghanistan	Martyrs and Ahmad Shah Masoud Day	"Tuesday, September 9, 2025"	9-Sep-25	Martyrs and Ahmad Shah Masoud Day is a public holiday in Afghanistan
AF	Afghanistan	September Equinox	"Monday, September 22, 2025"	22-Sep-25	September Equinox in Afghanistan (Kabul)
AF	Afghanistan	December Solstice	"Sunday, December 21, 2025"	21-Dec-25	December Solstice in Afghanistan (Kabul)
AL	Albania	New Year's Day	"Wednesday, January 1, 2025"	1-Jan-25	"New Yearâ€™s Day is the first day of the year, or January 1, in the Gregorian calendar."
AL	Albania	New Year's Day (Day 2)	"Thursday, January 2, 2025"	2-Jan-25	New Year's Day (Day 2) is a national holiday in Albania
AL	Albania	Valentine's Day	"Friday, February 14, 2025"	14-Feb-25	February 14 is Valentine's Day or Saint Valentine's Feast. The day of love owes its origins to ancient Roman and European Christian traditions.
AL	Albania	Ramadan Start	"Saturday, March 1, 2025"	1-Mar-25	"Ramadan is a period of prayer, reflection and fasting for many Muslims worldwide. It is the ninth month in the Islamic calendar."
AL	Albania	Mothers' Day	"Saturday, March 8, 2025"	8-Mar-25	Motherâ€™s Day celebrates the achievements and efforts of mothers and mother figures.
AL	Albania	Summer Day	"Friday, March 14, 2025"	14-Mar-25	Summer Day is a national holiday in Albania
AL	Albania	March Equinox	"Thursday, March 20, 2025"	20-Mar-25	March Equinox in Albania (Tirana)
AL	Albania	Nevruz Day	"Saturday, March 22, 2025"	22-Mar-25	Nevruz Day is a national holiday in Albania
AL	Albania	Day off for Nevruz Day	"Monday, March 24, 2025"	24-Mar-25	Nevruz Day is a national holiday in Albania
AL	Albania	Eid al-Fitr	"Sunday, March 30, 2025"	30-Mar-25	"Eid al-Fitr is a holiday to mark the end of the Islamic month of Ramadan, during which Muslims fast during the hours of daylight."
AL	Albania	Daylight Saving Time starts	"Sunday, March 30, 2025"	30-Mar-25	Daylight Saving Time starts in Albania
AL	Albania	Good Friday	"Friday, April 18, 2025"	18-Apr-25	Good Friday is a global Christian observance two days before Easter Sunday.
AL	Albania	Good Friday (Orthodox)	"Friday, April 18, 2025"	18-Apr-25	Millions of Orthodox Christians around the world annually observe Good Friday to commemorate the events leading up to Jesus Christ's crucifixion.
AL	Albania	Holy Saturday	"Saturday, April 19, 2025"	19-Apr-25	Holy Saturday is the day before Easter Sunday.
AL	Albania	Easter Saturday (Orthodox)	"Saturday, April 19, 2025"	19-Apr-25	The Saturday before Easter Sunday is also known as Holy Saturday for many Orthodox churches worldwide.
AL	Albania	Easter Sunday	"Sunday, April 20, 2025"	20-Apr-25	"Easter Sunday commemorates Jesus Christâ€™s resurrection, according to Christian belief."
AL	Albania	Easter Sunday (Orthodox)	"Sunday, April 20, 2025"	20-Apr-25	Millions of Orthodox Christians around the world often celebrate Easter Sunday at a different time to the date set by many western churches.
AL	Albania	Day off for Easter Sunday	"Monday, April 21, 2025"	21-Apr-25	Day off for Easter Sunday is a national holiday in Albania
AL	Albania	Easter Monday	"Monday, April 21, 2025"	21-Apr-25	Easter Monday is the day after Easter Sunday.
AL	Albania	Easter Monday (Orthodox)	"Monday, April 21, 2025"	21-Apr-25	Orthodox Easter Monday is the day after the Orthodox Easter Sunday.
AL	Albania	Day off for Easter Sunday (Orthodox)	"Monday, April 21, 2025"	21-Apr-25	Day off for Easter Sunday (Orthodox) is a national holiday in Albania
AL	Albania	International Workerâ€™s Day	"Thursday, May 1, 2025"	1-May-25	"Labor Day, International Workers' Day, and May Day, is a day off for workers in many countries around the world."
AL	Albania	Feast of the Sacrifice	"Saturday, June 7, 2025"	7-Jun-25	Eid al-Adha (Id ul-Adha) is an Islamic festival falling on the 10th day of the month of Dhul Hijja (Thou al-Hijja) to commemorate the willingness of Ibrahim (Abraham) to sacrifice his son.
AL	Albania	Fathers' Day	"Sunday, June 15, 2025"	15-Jun-25	Fatherâ€™s Day celebrates fatherhood and male parenting on different dates worldwide.
AL	Albania	June Solstice	"Saturday, June 21, 2025"	21-Jun-25	June Solstice in Albania (Tirana)
AL	Albania	Mother Teresa Beatification Day	"Friday, September 5, 2025"	5-Sep-25	Mother Teresa Beatification Day is a national holiday in Albania
AL	Albania	September Equinox	"Monday, September 22, 2025"	22-Sep-25	September Equinox in Albania (Tirana)
AL	Albania	Daylight Saving Time ends	"Sunday, October 26, 2025"	26-Oct-25	Daylight Saving Time ends in Albania
AL	Albania	Halloween	"Friday, October 31, 2025"	31-Oct-25	Halloween is a festive occasion that is celebrated in many countries on October 31 each year.
AL	Albania	Alphabet Day	"Saturday, November 22, 2025"	22-Nov-25	Alphabet Day is a national holiday in Albania
AL	Albania	Day off for Alphabet Day	"Monday, November 24, 2025"	24-Nov-25	Alphabet Day is a national holiday in Albania
AL	Albania	Flag and Independence Day	"Friday, November 28, 2025"	28-Nov-25	Flag and Independence Day is a national holiday in Albania
AL	Albania	Liberation Day	"Saturday, November 29, 2025"	29-Nov-25	Liberation Day is a national holiday in Albania
AL	Albania	Day off for Liberation Day	"Monday, December 1, 2025"	1-Dec-25	Liberation Day is a national holiday in Albania
AL	Albania	National Youth Day	"Monday, December 8, 2025"	8-Dec-25	National Youth Day is a national holiday in Albania
AL	Albania	December Solstice	"Sunday, December 21, 2025"	21-Dec-25	December Solstice in Albania (Tirana)
AL	Albania	Christmas Eve	"Wednesday, December 24, 2025"	24-Dec-25	Christmas Eve is the day before Christmas Day and falls on December 24 in the Gregorian calendar.
AL	Albania	Christmas Day	"Thursday, December 25, 2025"	25-Dec-25	Christmas Day is one of the biggest Christian celebrations and falls on December 25 in the Gregorian calendar.
AL	Albania	New Year's Eve	"Wednesday, December 31, 2025"	31-Dec-25	"New Yearâ€™s Eve is the last day of the year, December 31, in the Gregorian calendar."
DZ	Algeria	New Year	"Wednesday, January 1, 2025"	1-Jan-25	"New Yearâ€™s Day is the first day of the year, or January 1, in the Gregorian calendar."
DZ	Algeria	Berber New Year	"Sunday, January 12, 2025"	12-Jan-25	Berber New Year is a public holiday in Algeria
DZ	Algeria	Ramadan Start	"Saturday, March 1, 2025"	1-Mar-25	"Ramadan is a period of prayer, reflection and fasting for many Muslims worldwide. It is the ninth month in the Islamic calendar."
DZ	Algeria	March Equinox	"Thursday, March 20, 2025"	20-Mar-25	March Equinox in Algeria (Algiers)
DZ	Algeria	Eid al-Fitr	"Monday, March 31, 2025"	31-Mar-25	"Eid al-Fitr is a holiday to mark the end of the Islamic month of Ramadan, during which Muslims fast during the hours of daylight."
DZ	Algeria	Eid al-Fitr Holiday	"Tuesday, April 1, 2025"	1-Apr-25	Eid al-Fitr Holiday is a public holiday in Algeria
DZ	Algeria	May Day	"Thursday, May 1, 2025"	1-May-25	"Labor Day, International Workers' Day, and May Day, is a day off for workers in many countries around the world."
DZ	Algeria	Eid al-Adha	"Saturday, June 7, 2025"	7-Jun-25	Eid al-Adha (Id ul-Adha) is an Islamic festival falling on the 10th day of the month of Dhul Hijja (Thou al-Hijja) to commemorate the willingness of Ibrahim (Abraham) to sacrifice his son.
DZ	Algeria	Eid al-Adha Holiday	"Sunday, June 8, 2025"	8-Jun-25	Eid al-Adha Holiday is a public holiday in Algeria
DZ	Algeria	June Solstice	"Saturday, June 21, 2025"	21-Jun-25	June Solstice in Algeria (Algiers)
DZ	Algeria	Muharram	"Friday, June 27, 2025"	27-Jun-25	Muharram is the first month of the Islamic calendar and a time of remembrance or mourning.
DZ	Algeria	Independence Day	"Saturday, July 5, 2025"	5-Jul-25	Independence Day is a public holiday in Algeria
DZ	Algeria	Day of Achura	"Sunday, July 6, 2025"	6-Jul-25	Day of Achura is a public holiday in Algeria
DZ	Algeria	The Prophet's Birthday	"Friday, September 5, 2025"	5-Sep-25	"Mawlid, or Milad, marks the birth of the Islamic prophet Muhammed, or Mohamed, in the year 570 of the Gregorian calendar."
DZ	Algeria	September Equinox	"Monday, September 22, 2025"	22-Sep-25	September Equinox in Algeria (Algiers)
DZ	Algeria	Anniversary of the Revolution	"Saturday, November 1, 2025"	1-Nov-25	Anniversary of the Revolution is a public holiday in Algeria
DZ	Algeria	December Solstice	"Sunday, December 21, 2025"	21-Dec-25	December Solstice in Algeria (Algiers)
AS	American Samoa	New Year's Day	"Wednesday, January 1, 2025"	1-Jan-25	"New Yearâ€™s Day is the first day of the year, or January 1, in the Gregorian calendar."
AS	American Samoa	Martin Luther King Jr. Day	"Monday, January 20, 2025"	20-Jan-25	Martin Luther King Jr. Day is a public holiday in American Samoa
AS	American Samoa	President's Day	"Monday, February 17, 2025"	17-Feb-25	President's Day is a public holiday in American Samoa
AS	American Samoa	March Equinox	"Thursday, March 20, 2025"	20-Mar-25	March Equinox in American Samoa (Pago Pago)
AS	American Samoa	Flag Day	"Thursday, April 17, 2025"	17-Apr-25	Flag Day is a public holiday in American Samoa
AS	American Samoa	Good Friday	"Friday, April 18, 2025"	18-Apr-25	Good Friday is a global Christian observance two days before Easter Sunday.
AS	American Samoa	Memorial Day	"Monday, May 26, 2025"	26-May-25	Memorial Day is a public holiday in American Samoa
AS	American Samoa	Juneteenth Independence Day	"Thursday, June 19, 2025"	19-Jun-25	Juneteenth Independence Day is a public holiday in American Samoa
AS	American Samoa	June Solstice	"Saturday, June 21, 2025"	21-Jun-25	June Solstice in American Samoa (Pago Pago)
AS	American Samoa	Independence Day	"Friday, July 4, 2025"	4-Jul-25	Independence Day is a public holiday in American Samoa
AS	American Samoa	Manu'a Cession Day	"Wednesday, July 16, 2025"	16-Jul-25	Manu'a Cession Day is a public holiday in American Samoa
AS	American Samoa	Labor Day	"Monday, September 1, 2025"	1-Sep-25	"Labor Day, International Workers' Day, and May Day, is a day off for workers in many countries around the world."
AS	American Samoa	September Equinox	"Monday, September 22, 2025"	22-Sep-25	September Equinox in American Samoa (Pago Pago)
AS	American Samoa	Columbus Day	"Monday, October 13, 2025"	13-Oct-25	Columbus Day is a public holiday in American Samoa
AS	American Samoa	Veterans' Day	"Tuesday, November 11, 2025"	11-Nov-25	Veterans' Day is a public holiday in American Samoa
AS	American Samoa	Thanksgiving	"Thursday, November 27, 2025"	27-Nov-25	Thanksgiving is a public holiday in American Samoa
AS	American Samoa	December Solstice	"Sunday, December 21, 2025"	21-Dec-25	December Solstice in American Samoa (Pago Pago)
AS	American Samoa	Christmas Day	"Thursday, December 25, 2025"	25-Dec-25	Christmas Day is one of the biggest Christian celebrations and falls on December 25 in the Gregorian calendar.
AD	Andorra	New Year's Day	"Wednesday, January 1, 2025"	1-Jan-25	"New Yearâ€™s Day is the first day of the year, or January 1, in the Gregorian calendar."
AD	Andorra	Epiphany	"Monday, January 6, 2025"	6-Jan-25	Epiphany is a Christian holiday celebrated globally on January 6 each year. It commemorates two events recorded in the Bible: the three wise menâ€™s visit to baby Jesus; and Jesusâ€™ baptism.
AD	Andorra	Carnival	"Monday, March 3, 2025"	3-Mar-25	Carnival is a national holiday in Andorra
AD	Andorra	Constitution Day	"Friday, March 14, 2025"	14-Mar-25	Constitution Day is a national holiday in Andorra
AD	Andorra	Fathers' Day	"Wednesday, March 19, 2025"	19-Mar-25	Fatherâ€™s Day celebrates fatherhood and male parenting on different dates worldwide.
AD	Andorra	March Equinox	"Thursday, March 20, 2025"	20-Mar-25	March Equinox in Andorra (Andorra La Vella)
AD	Andorra	Daylight Saving Time starts	"Sunday, March 30, 2025"	30-Mar-25	Daylight Saving Time starts in Andorra
AD	Andorra	Maundy Thursday (Starting Noon)	"Thursday, April 17, 2025"	17-Apr-25	Maundy Thursday is a Christian observance on the Thursday during Holy Week. It is the day before Good Friday.
AD	Andorra	Good Friday	"Friday, April 18, 2025"	18-Apr-25	Good Friday is a global Christian observance two days before Easter Sunday.
AD	Andorra	Holy Saturday	"Saturday, April 19, 2025"	19-Apr-25	Holy Saturday is the day before Easter Sunday.
